Steps,H,Dt,ABS_error
0.0,0.4,2.746530721670274,0.7465307216702741
1.0,0.08,2.017333701644068,0.017333701644068
2.0,0.016,2.0006830864040954,0.0006830864040954232
3.0,0.0032,2.000027307337768,2.7307337767901174e-05
4.0,0.00064,2.000001092267688,1.0922676878521997e-06
5.0,0.000128,2.000000043691011,4.369101080925475e-08
6.0,2.5600000000000002e-05,2.0000000017466983,1.746698341520414e-09
7.0,5.12e-06,2.0000000000640163,6.401634777830623e-11
8.0,1.024e-06,2.0000000000314904,3.149036587046794e-11
9.0,2.048e-07,1.99999999986886,1.3113998775793334e-10
10.0,4.0960000000000004e-08,1.9999999987846577,1.2153422712657402e-09
11.0,8.192e-09,1.999999998784658,1.2153420492211353e-09
12.0,1.6384e-09,1.999999998784658,1.2153420492211353e-09
13.0,3.2768e-10,1.9999999649033402,3.509665980061527e-08
14.0,6.5536e-11,2.000000642529698,6.425296978918027e-07
15.0,1.3107200000000001e-11,1.9999972543979088,2.745602091236421e-06
16.0,2.62144e-12,2.000014195056854,1.4195056853960608e-05
17.0,5.24288e-13,1.9999506675858096,4.933241419036172e-05
18.0,1.0485760000000001e-13,1.9995271511121826,0.00047284888781740086
19.0,2.0971520000000002e-14,2.0011153378882844,0.00111533788828444
